author,date,finalSummary,miniSummary,title
Caroline Knox,30-Oct-15,"“When the GSL Program was first introduced to our university, we didn’t know much about entrepreneurship,” Kanankage explains, “or actually the whole IT industry.” Today Kanankage’s company boasts an impressive 6 million downloads for its first app, Drawing Desk.In 2011 GSL, supported by Google, sent MIT grad students to the University of Moratuwa to teach a mobile technologies and entrepreneurship course in conjunction with the school.Kanankage says, “We got the chance to network with these high-ranked professionals and, based on those conversations, learned a lot about creating a company in Sri Lanka.”Under advisement of field experts and GSL instructors, the university students built their own startups which were demoed at the end of the course.",MIT Global Startup Labs program leads to student-founded startups 4Axis Solutions and PayMedia.,Empowering students in Sri Lanka to form mobile-app startups
Caroline Knox,21-Jun-17,"From researching assistive technologies at Politecnico di Milano in Italy to exploring biomaterials for regenerative therapies at the Institute for Bioengineering of Catalonia in Spain, the fellows supported by the partnership between the MIT International Science and Technology Initiatives (MISTI) and the MIT European Club (Euro-Club) are tackling the world's challenges through experiential learning and international collaboration.The Euro-Club, which comprises MIT students dedicated to creating a European community on campus and fostering cross-cultural collaborations between the Institute and Europe, has contributed more than $200,000 to MISTI over the past decade.“The partnership between MISTI and the European Club is truly unique,” says Erin Schenck, managing director of MISTI’s MIT-Germany, MIT-Netherlands, and MIT-Switzerland (German-speaking) programs.“Nowhere else on campus is there a student group giving back on an annual basis.” Thanks to the Euro-Club’s sponsorship,  — which specializes in matching students with hands-on projects across the globe — has been able to organize 42 additional projects in nine European countries.“The model is mutually beneficial,” Schenck explains.","The MIT European Club surpasses $200,000 mark in support of MISTI fellowships.",A unique partnership
Caroline Knox,20-Sep-16,"Interning, researching, and teaching in 24 countries around the world, MISTI students develop these practical intercultural skills working alongside international colleagues.From Argentina to Australia, current MISTI students submitted 30-second videos focusing on their international projects and their experiences with different cultures.The winning videos include:“” by Wesley Woo and Garrett Souza (MIT-Brazil)“” by Sunandini Chopra (MIT-India)“” by Navil Perez (MIT-Mexico)MISTI also held a photo contest among its summer interns via Instagram.",Winners of MISTI’s annual video contest announced. ,How is MIT making the world better through MISTI?
MIT Work-Life Center,25-Nov-14,,"On Dec. 3, corporate and career communications consultant Jim McGovern will present, “Stop Worrying About Your Career and Start Working on It.” ",Work-Life Center to host career development workshop for MIT young professionals
School of Engineering,16-Nov-16,"But it’s also a marathon with many highs and lows.We really look forward to helping develop the next generation of game-changing entrepreneurs.”Jinane Abounadi SM '90 PhD '98, executive director of MIT Sandbox, is pleased by the educational emphasis of the new partners and is eager to see how “participants will benefit from such collective and deep expertise and global perspective.”To date, 250 students making up 112 teams have already engaged with MIT Sandbox and its mentors, including affiliated sponsors, and educators.","Program adds global sponsors, welcomes more than 100 new teams.",MIT Sandbox doubles down on student innovation 
Nancy Adams,18-May-20,"Through these workshops, participants identify everyday challenges — at work and at home — and develop the skills to design technologies and businesses to address them.So far, the team has trained seven local Creative Capacity Building facilitators and 75 artisanal miners in the Andes and Bajo Cauca, who have developed prototypes ranging from an.Just as the team was gearing up to facilitate a fourth Creative Capacity Building workshop, the Colombian government declared a mandatory preventive quarantine due to Covid-19 and closed the commercial sector.""Over the course of two weeks, Freese and the C-Innova team quickly developed virtual design modules to tackle the challenges of disease transmission and food insecurity.The modules consist of illustrated step-by-step instructions for making personal protection equipment (PPE), including hand sanitizer and masks, and illustrated step-by-step instructions for increasing food production with vertical gardens and small, portable chicken coops.At the end of May, C-Innova will begin to deliver these modules via WhatsApp and Facebook to local facilitators already trained by D-Lab to facilitate Creative Capacity Building workshops.","MIT D-Lab and local community partners to deliver virtual trainings on making masks, hand sanitizer, vertical gardens, and portable chicken coops.",Helping artisanal miners in Colombia face the Covid-19 crisis
"School of Humanities, Arts, and Social Sciences",4-Jun-18,"Discuss.“If we have massive change in climate policies now, that might mean different people live in the future, and not those who would live if we continued with the same energy policies,” says McGinnity.“Using that argument as a framework, the reason to prevent climate change can’t be because it might harm future individuals,” suggests Grown-Haeberli, “because they won’t be worse off for us not fixing the problem.”“This may be about improving the kind of moral reasoning we use to do things that affect future generations,” says Aldajani, “When it comes to climate change, our response may be not about avoiding harm or making the world a better place, but about fulfilling a duty of justice by reducing emissions.”It’s one of the class’s “trippy problems,” in the words of Grown-Haeberli, which sticks with students beyond the classroom.“This course makes you think consciously about complicated things that don’t have intuitive answers, and shows how to approach questions in a consistent, logical way, giving you good justifications for your actions,” says Grown-Haeberli.“If you’re really interested in understanding why we should be doing things about climate change,” says Aldajani, “this class prepares you to talk about the issue coherently at conferences, or with specialists, and make an insightful conclusion.”This, of course, is music to the ears of an instructor.“Teaching MIT students is an investment in a bunch of brilliant young people who will make impacts in all kinds of ways,” says Setiya.","In a “mathy” philosophy class, students explore the risks, outcomes, and ethical implications of living in a warming world.
",The moral calculus of climate change
Anne Trafton,1-Apr-16,"As the Institute celebrates its first 100 years in Cambridge and prepares for the future, one of many challenges it faces is how to best serve students on campus as well as the many students who learn from MIT’s online educational initiatives but never set foot on campus.“If online education is a first-class citizen in the educational landscape, the question is, what happens to the university, to the campus?” said Sanjay Sarma, MIT’s vice president for open learning and the Fred Fort Flowers and Daniel Fort Flowers Professor in Mechanical Engineering, at a symposium this week titled “The Campus — Then, Now, Next,” in Kresge Auditorium.That question was among many posed at the event, which also addressed key challenges such as updating and preserving historical buildings, making the campus more sustainable, and redeveloping the MIT’s interface with the Kendall Square neighborhood.More than 70 percent of the 70,000 people who take the school’s online courses are over the age of 21, and for these older, working students, “their first priority is their family, their second is work, and then they’re trying to squeeze in their education,” LeBlanc said.Online programs can also help older learners continue developing new skills throughout their careers and help them to switch careers, said Anant Agarwal, the CEO of edX and a professor of electrical engineering and computer science at MIT.“It is senseless to think that what you learn for four years at age 18 will help you keep pace for the rest of your life,” said Agarwal, pointing out that industries such as data science have many unfilled jobs because there aren’t enough qualified workers.To help address the needs of people who want to learn new skills, edX recently began offering a degree called a “MicroMaster’s,” which requires five courses followed by a capstone exam to demonstrate mastery of the subject.One of the challenges still facing online education is how to replicate the experience of working together, as students in physical proximity often do.",Symposium celebrates MIT’s history in Cambridge and looks at what comes next.,MIT’s past and future
"Larry Hardesty, MIT News Office",12-Dec-11,,"In 11 years, MIT’s Accelerating Information Technology Innovation (AITI) program has trained more than 1,500 budding entrepreneurs in seven countries.",In the World: Fostering entrepreneurship in developing nations
David L. Chandler,13-Apr-16,"Strung together by a series of clever video clips showing the MIT campus being explored by flying drones, a hopping “super mini cheetah” robot, Tim the Beaver, and assorted other guides, a symposium at Kresge auditorium on Tuesday provided an array of brief talks that gave an inspiring and extraordinarily varied sampling of the research and creativity to be found on every corner of the campus.The event was one of several celebrations marking the 100th anniversary of MIT’s move to its Cambridge campus; the Institute relocated from Boston in 1916 onto newly reclaimed land that had been a tidal mud flat.The symposium, said MIT President L. Rafael Reif in his introduction to the event, was an attempt to convey the breadth of interests and work in the MIT community, made up of people who are “so intense, so passionate, so driven, so curious.” Every top research institution has a handful of those kinds of people, he said, but “at MIT, everybody is like that.” They have “a boldness, a persistence, a desire to have an impact, and a passion to do good for the world.”A baker’s dozen of faculty from every part of the campus, representing a wide variety of disciplines, described their work and their vision, and the special qualities of research at MIT, where a deliberately interconnected campus encourages collaborations and interdisciplinary research.Amos Winter, an assistant professor of mechanical engineering, described a series of projects aimed at meeting the particular needs of people in the developing world, from energy to transportation to prosthetics.And Katharina Ribbeck, the Eugene Bell Career Development Professor of Tissue Engineering in the Department of Biological Engineering,  described her research on the variety of microbes that live on and in our bodies, and how we can better understand them to improve our health.Others described the economic, social, and technological challenges facing some of the world’s largest and poorest populations.","Symposium explores rich variety of MIT endeavors, from X-ray vision to urban development.",MIT researchers look to the future
Michael Patrick Rutter,22-Sep-16,", a web app, simplifies and modernizes the registration process.With an intuitive design and integration with many state-based voter registration websites (28 to date with the rest covered by the national database), users can more reliably confirm if they are registered to vote.Votemate users can even find the polling location for the next upcoming election and receive email reminders for it.Other registration sites exist, says Kini, but are can be cluttered or filled with legalese.","A solution for millennials by millennials, votemate takes the frustration out of registering to vote.
","Students' web app seeks to simplify, modernize voter registration"
Caroline Knox,14-Sep-15,"“I am not sure I would have been able to have such an impact if I had stayed in the US.” Pollock, who received her Master’s in City Planning in 2013, traveled to Mexico two years ago for a three-month internship and stayed for a career.As a graduate student at MIT, Pollock interned with Mexico's federal police through the MIT-Mexico Program, one of the 20 country programs that comprises the MIT International Science and Technology Initiatives (MISTI).Born in Mexico but raised in the U.S., Funakoshi explains, “Initially I wanted to intern in Mexico to get a better feel for my native country, and it turned out that I fell in love with the city and the country.” At FUMEC, Funakoshi researched opportunities for automotive collaboration in the United States, Mexico, and Canada.","Three MIT-Mexico Program alumni head south of the border to launch ""dynamic"" careers.",¿Conoces México?
Hannah Meiseles,28-Feb-21,"You spend all day with the same people and that’s how you get so close,” he says.You have to know where other people are coming from before you know where you are.”Delhees was additionally inspired to pursue finance and economics after taking 15.501 (Introduction to Financial and Managerial Accounting) with .","As captain of MIT’s varsity football team, senior Ben Delhees strives to create community wherever he goes.",Finding teammates on and off the field
Caroline Knox,1-Sep-15,"“One of the tasks of our club is to teach our students about the great old continent — its history, culture, architecture, and, moreover, its way of life,” says European Club president Giulio Alighieri.“Through MISTI internships, MIT students apply their hands-on education to challenges in a new environment.","Student group has donated $145K for MISTI student internships at non-profits in France, Germany, Italy, and Spain.",MIT European Club funds fellowships to promote cross-cultural understanding
Mark Dwortzan,9-Jan-20,"Assuming current Paris Agreement pledges are maintained beyond 2030, the share of fossil fuels in the global energy mix declines from approximately 80 percent today to 73-76 percent in 2040.Meanwhile, the share of wind and solar rises from 2 percent today to 6-13 percent (current pledges) and further to 17-26 percent (2 C scenarios) in 2040.2.",A new study looks at how the global energy mix could change over the next 20 years. ,Pathways to a low-carbon future
MIT Institute Events,15-Mar-16,,"Event welcomes more than 20 speakers over four sessions on designing places for inventing the future.
","Architecture symposium March 30 and 31: Exploring the campus then, now, next"
MIT News Office,13-Jan-16,"“We anticipate that planned changes to the equipment and fuels used in the plant over the coming years can reduce campus emissions by 10 percent from the 2014 baseline — one piece that will allow us to reach 32 percent or beyond.”Compiling the greenhouse gas inventory was a collaborative effort involving the Office of Sustainability; the Environment, Health and Safety Office; and the Department of Facilities.“Having our very own MIT GHG inventory provides us with a new and interesting platform to further support research in the area, along with also being a great teaching resource.”Students and faculty have been integral to the collection and management of this data in the past, and the Office of Sustainability invites further involvement across departments in improving and refining future inventories through fellowships and course projects.Julie Newman, director of the Office of Sustainability, says: “As citizens of the MIT campus, we all play a role in grappling with our greenhouse gas emissions, and we are at this exciting moment in time where we can lead on developing strategies at the local level that could be scaled up in communities across the world.",Data set a baseline for campus climate action.,MIT releases institutional greenhouse gas inventory
Julia Sklar,18-May-15,"“It was good to step out of the MIT bubble and really think about what my values are, who I am as a person, and what I’m trying to do,” she says.Sharing to Learn recently received additional funding for the library, and Ray will be returning to South Africa this summer, along with fellow MIT senior Aurimas Bukauskas, to continue their work.In keeping with her interest in flexible learning, this winter Ray interned at a small architecture firm in Somerville, Massachusetts, called Reverse Architecture, which focuses more on residential design.","Architecture major Tiandra Ray designs spaces with a focus on community, not just aesthetics.",Putting people before buildings
Laurie Everett,7-Jul-10,,Presented by the MIT Museum and the Cambridge Science Festival,Lunch with a Laureate: Eric Chivian
MIT World,10-Jun-10,,Presented by the MIT Museum and the Cambridge Science Festival,Lunch with a Laureate: Richard Schrock
MIT Museum,20-Apr-10,,More than 200 events for the public April 24 through May 2,Laser Show and ‘Big Ideas’ kick off 2010 Cambridge Science Festival
Julia Sklar,15-Sep-15,"But she began to wonder if there could be anything useful about it, too.In the MIT lab of Eric Alm, an associate professor of biological engineering, she found that the answer is yes.The project that Matus is now involved in has two goals: collecting sewage samples from manholes around Cambridge and Boston, and collecting stool samples from individuals.So she steers clear of phrasing such as, “You ate mushrooms two days ago, and that’s why a flare might occur.” Instead, she might opt for something less accusatory, such as, “We found traces of mushroom in your sample, which your body is having a hard time metabolizing.”Her work with the public extends beyond just the IBD study; Matus has been working closely with the Boston Public Health Commission and the Cambridge Public Health Department to keep both arms of her research grounded.“I want to design systems to tackle problems that have real people on the other end of them,” says Matus.",PhD student Mariana Matus studies human waste to understand individual and community health. ,"Out of sight and out of mind, sewage can actually tell us a lot about health"
Denis Paiste,13-Aug-15,"At the end of the semester, a group from MIT travels to the University of Tokyo in Japan for a symposium at which students listen to each other's problem definitions and solutions.""At the end, they have a cell, they test it, and they've done an energy component of the course that is applying some of the larger design optimization principles that they've learned in the rest of the course,"" Kimerling explains.","‘Global Principles’ course challenges students at MIT and the University of Tokyo to develop a cross-cultural, systems approach to materials science and engineering.",Training ‘small-planet’ engineers
News Office,21-Oct-15,"This group originally petitioned MIT to divest from 200 companies and more recently has asked for “reinvestment in campus sustainability, and a reinvention of the approach that MIT takes toward climate change.”In his announcement letter today to the MIT community, President L. Rafael Reif said the plan would not have taken the shape it did without Fossil Free MIT’s “willingness to work with us toward the shared goal of meaningful climate action.” He encouraged the group’s members to join in the work ahead.In his letter, Reif called upon all members of the MIT community to take action.The eight low-carbon energy centers leverage MIT’s strengths in working across disciplines and in deeply engaging with industry to tackle society’s greatest challenges.”The plan announces that in the interest of fighting climate change, MIT will not divest from companies in the fossil fuel sector.“We believe that divestment — a dramatic public disengagement — is incompatible with the strategy of engagement with industry to solve problems that is at the heart of today’s plan.",Hundreds of millions sought for low-carbon research; advocacy for carbon pricing; a call to the alumni and beyond.,MIT announces five-year plan for action on climate change
Peter Dizikes,13-Feb-15,"But there is one drawback with all such analyses, as Teppei Yamamoto, an assistant professor of political science at MIT, says: “They don’t actually explain what people do in the real world.” That is, pollsters have long suspected that voters are wary of admitting to, say, ethnic or religious biases.In a paper published in 2013, Hainmueller and Hangartner showed that immigrants from Turkey and the former Yugoslavia, all other factors being equal, were 40 percent less likely to gain citizenship.Meanwhile, in an award-winning paper published in 2014, Yamamoto, Hainmueller, and Daniel Hopkins of Georgetown University described how conjoint analysis could be applied to political votes.The latest paper, in a sense, merges those efforts by testing the conjoint method against the Swiss votes, with a layer of survey results matched up against the empirical vote outcomes.",New paper shows how “conjoint analysis” can tackle hard political issues.,Explaining what voters try to hide
Peter Dizikes,4-Nov-14,"One of the groups assisting the commission was the Caltech/MIT Voting Technology Project, founded after the 2000 presidential election recount in Florida had highlighted problems with voting machines.The presidential commission’s report, filed earlier in 2014, addressed many voting issues, not just lines, but the commission viewed lines as a problem that applied research could help address.“They saw that it was important to ground solutions to line problems in science and technology,” Stewart says.So you really have to have people in precincts to do the measurements and gather the data.",New MIT-led research effort applies the science of lines to the polling place.,Study aims to shorten Election Day lines
Matthew D. Bauer,4-Nov-16,"“Students can take the class multiple times, and we discuss different topics every semester.” In addition to talking with Robbins and Auguste, Weiner said she and Martinovich have also started preliminary work on the idea.“Tremaan taking a knee before the RPI game has resulted in some important developments that advance the conversation about diversity and inclusion at MIT.” In addition to the burgeoning discussion program, Robbins and Auguste hope MIT also looks at how it recruits student-athletes.",Players’ protest begins wave of discussion.,MIT Football tackles diversity and inclusion conversations
Laurie Everett,6-Mar-15,"Working with a team that includes material science systems engineers and logistics experts, Mazereeuw is helping plan a large industrial corridor and the housing needs that will come with large-scale development, preemptively building disaster planning into the process.Her work recently brought her to the White House for a discussion on disaster response and recovery, which focused on the most effective uses of technology to better prepare communities for a disaster.Half Japanese and half Dutch, Mazereeuw has roots in two countries that have dealt with floods, earthquakes, and typhoons.“It is important to recognize the dual purpose of many community features, and better yet, when planning an urban environment, build in dual purposes preemptively,” she says.“We define risk as the hazard times the vulnerability divided by the coping capacity.","Miho Mazereeuw, founder of the Urban Risk Lab, has roots in two countries that have dealt with floods, earthquakes, and typhoons.",Preemptive design saving cities
Ken Shulman,23-Jun-20,"The new minor was popular from the outset, consistently placing among MIT’s top five and as high as second.“Students were looking for subjects where they could engage in creative and technically challenging hands-on projects in a studio setting while considering the broader, sociocultural impacts of design,” says Terry Knight, William and Emma Rogers Professor of Design and Computation in the Department of Architecture, who helped spearhead the development of the design minor and the major in art and design, and who serves as design minor advisor.“Some of them are in graduate school,” says Pettigrew, who is one of the instructors in the introductory 4.021 (How to Design) studio.“Others are in all sorts of positions in the work world, from mechanical engineering to information design to building design.",MIT’s design minor and major programs give rise to polymath students with design skills they can apply to any field.,Design in a major key 
Nicole Morell,5-May-15,"How do you launch a cultural shift at an institution?“One day we gave out 500 wristbands in Lobby 7 and the next day I had 80 to 90 people come up to me and ask me how my day was,” she says.","White ""TMAYD"" wristbands are being distributed by a first-year student who wants to warm up campus interactions.","Tell me about your day, MIT"
Taylor De Leon,12-Mar-19,"She said she aims to challenge conventional transportation systems by looking at the ways in which technology will influence certain systems for the better, making a difference in the long run.“Our diverse knowledge is beneficial when taking on climate change, and we can provide opportunity in various disciplines including infrastructure, systems, and the environment,” said Heald.Eltahir explained that having a connection to the social sciences would be something that the department should consider seriously.",Ninth annual Research Speed Dating event fosters intradepartmental collaboration and facilitates discussion of future efforts to solve global issues.,CEE event showcases multidisciplinary opportunities
Helen Knight,8-Apr-19,"Natural gas and biogas have become increasingly popular sources of energy throughout the world in recent years, thanks to their cleaner and more efficient combustion process when compared to coal and oil.However, the presence of contaminants such as carbon dioxide within the gas means it must first be purified before it can be burnt as fuel.Traditional processes to purify natural gas typically involve the use of toxic solvents and are extremely energy-intensive.As a result, researchers have been investigating the use of membranes as a way to remove impurities from natural gas in a more cost-effective and environmentally friendly way, but finding a polymer material that can separate gases quickly and effectively has so far proven a challenge.Now, in a paper published today in the journal , researchers at MIT describe a new type of polymer membrane that can dramatically improve the efficiency of natural gas purification while reducing its environmental impact.The membrane, which has been designed by an interdisciplinary research team at MIT, is capable of processing natural gas much more quickly than conventional materials, according to lead author Yuan He, a graduate student in the Department of Chemistry at MIT.“Our design can process a lot more natural gas — removing a lot more carbon dioxide — in a shorter amount of time,” He says.Existing membranes are typically made using linear strands of polymer, says Zachary Smith, the Joseph R. Mares Career Development Professor of Chemical Engineering at MIT, who led this research effort.“These are long-chain polymers, which look like cooked spaghetti noodles at a molecular level,” he says.“Further, these polymers exhibit little undesired plasticization as the gas pressure is increased, despite their relatively flexible backbone, making them desired materials for carbon dioxide-related separations.”The researchers are now planning to carry out a systematic study of the chemistry and structure of the brushes, to investigate how this affects their performance, He says.“We are looking for the most effective chemistry and structure for helping the separation process.”The team are also hoping to investigate the use of their membrane designs in other applications, including carbon capture and storage, and even in separating liquids.","Novel membrane material removes more impurities, without the need for toxic solvents.","Greener, more efficient natural gas filtration"
Lauren McKown,29-Apr-15,"It’s why they founded the Lean Research initiative last spring.Championed by faculty and researchers at MIT D-Lab, the Tufts Fletcher School, and the Feinstein International Center, also at Tufts, lean research is defined by the group as respectful, relevant, rigorous, and right-sized; taking a new approach to research conducted for international development.Nearly 40 researchers from academia, donor agencies, and prominent non-governmental organizations have now signed onto the Lean Research Declaration, showing their support for the call to improve research practice and intent to incorporate lean principles in their own research work.After a few days of surveying, the researcher who shared her example from India became frustrated and uncomfortable asking farmers so many questions.“We keep finding that lean research resonates with people in very diverse spaces, from researchers working for international development agencies to professors with years of field research experience to monitoring and evaluation professionals gathering data for NGOs and social enterprises, to graduate students preparing to conduct their first major study for a thesis or final project.”Recognizing that students are the next generation of researchers, donors, and policymakers in global development, the organizers of last week’s event made a conscious effort to get more students involved in Lean Research initiatives.Many graduate students, such as the Fletcher School’s Michael Mori and Trevor Zimmer, are already conducting their own research and looking for better, leaner ways to design survey instruments up front and once in the field.Mori and Zimmer attended last week’s Lean Research Lab and shared insights from their research on mobile banking as a driver of financial inclusion in Indonesia.","To help alleviate poverty, representatives from MIT D-Lab and Tufts Fletcher School focus on respectful, human-centered research practices in global development.","Advancing ""lean research"" for improved international development"
David L. Chandler,5-Mar-15,"“We need to create new metrics and new standards of efficiency.”By harnessing the creative powers of the MIT community to make the campus into a test bed of technologies and practices for a more sustainable society, Newman said, the goal is to ask: “How can MIT be a game-changing force for innovation in the 21st century?”Israel Ruiz, MIT’s executive vice president and treasurer, who spearheaded creation of the Office of Sustainability, said, “The challenge we’re addressing today is one that I’m personally very committed to.” Ruiz pointed out that the Institute is currently in the midst of  “one of the largest construction periods MIT has ever experienced” — offering opportunities to ensure that new buildings and renovations respect, from the earliest design stages, the principles of efficiency and sustainability in their energy, water, waste-handling, and other systems.Ruiz pointed to MIT.nano, which is being designed as the most energy-efficient cleanroom building of its kind in the country.The team suggested that using just the best, most easily adapted buildings for an initial project could yield 4.3 megawatts, without the need for any major retrofits.After hearing from several speakers who described specific measures proposed and even tried out on MIT’s campus or elsewhere, the group broke into teams to brainstorm new ideas for how to reduce MIT’s environmental footprint, whether by addressing heating and cooling systems, generation and use of electricity, water supply and wastewater handling, food supplies and waste, or transportation systems.Many participants were drawn from the membership of four new working groups created by the Office of Sustainability to offer guidance in specific areas; these groups will operate under the guidance of a Campus Sustainability Task Force, which Newman will co-chair.","Inaugural event brings together over 100 campus leaders to plan for greater efficiency, reduced waste.",MIT’s sustainability community gets to work
Anne Trafton,24-Jul-14,"Scientists believe that some of these bacteria help digest food and stave off harmful infections, but their role in human health is not well understood.To help shed light on the role of these bacteria, a team of researchers led by MIT associate professor Eric Alm recently tracked fluctuations in the bacterial populations of two research subjects over a full year.The levels are very different from person to person, but whatever it is about a person that is maintaining a certain level is able to survive a huge insult like that.",Close analysis of bacteria in the human digestive tract reveals links to diet and other lifestyle factors.,Monitoring the rise and fall of the microbiome
David L. Chandler,13-Mar-15,"“It’s an issue I care a lot about,” he said, “how we’re actually going to change the world through what we do here.”Ruiz pointed out that the campus already faces the need to carry out about $2 billion worth of renovations on its existing buildings over the next five to 10 years, but that need also presents a great opportunity for improving the overall energy efficiency of the campus.In addition, he said, MIT has “a lot of great research where we can use the campus for experiments,” and potentially find innovations that other institutions can emulate.Introducing the event, Christoph Reinhart, a professor of architecture, said the idea was to “seek broad input and see how MIT can respond” to the challenge of climate change, “and what we can do as a community” to address our own energy usage.Though that’s a minuscule footprint by global standards, how MIT manages its own facilities could have a disproportionate impact, he said: “We see ourselves as a catalyst for change, and there are a lot of people in the world looking at what we do.” If the Institute can find solutions on campus that are scalable and replicable, he said, “we can have an influence.”Henry “Jake” Jacoby, professor emeritus of management, underscored that point, saying “MIT is really small, but in terms of demonstrating what can be done, it’s really important.” He suggested that one critical step would be to change the way accounting is done so that different departments and labs would explicitly have to account for their energy use in their own budgets, giving them a direct incentive to find more efficient approaches.It’s essential, Jacoby added, given MIT’s reputation in the world, that “we don’t do things that are symbolic but don’t have a real effect.” It’s important to “not just do it, but do it right.”In moving toward innovative solutions, one key aspect for a data-driven place like MIT is to improve the ability to collect detailed energy use data at a building-by-building level or better, and that process is already well underway, said Sarah Bylinsky, a program manager in the sustainability office.",MIT Climate Change Conversation gets underway with brainstorming session on how to catalyze change.,How can MIT be a game-changer on climate?
"School of Humanities, Arts, and Social Sciences",25-Feb-20,"This year, the Burchards come from over a dozen different fields of study, among them biology, anthropology, mechanical engineering, management, and music.Isloma Osubor, junior in mechanical engineering and management","Students expand intellectual horizons and leadership skills at dinner-seminars with MIT faculty. 
 
",Thirty-eight exceptional MIT students named 2020 Burchard Scholars
David L. Chandler,10-Feb-16,"“As one of our student leaders put it recently, ‘It is wonderful to see the gears of MIT go to work on a problem,’ and I could not agree more.”Reif said that student leaders “are making a powerful case that a more welcoming, more inclusive MIT would be better for absolutely everyone.Speaking to the students in the audience, he said “you do have the right and the ability to speak truth to power” — the theme of this year’s MLK lunch.Real change has taken place, he said — the diversity represented there in the room, he said, would have been hard to find in Boston in the 1960s.",Speakers at annual MLK luncheon call for concrete actions to expand meaningful inclusiveness.,"President Reif says that in driving social change, “students have become our teachers”"
Anya Ventura,12-Mar-20,"These are machines, like “Black Hole Horizon,” whose primary product is a kind of existential wonder.We can scale it, we can give it different properties, make it a very beautiful medieval cup, or change it in any way we want.","“Orbiting” will be an aerial archive of symbols that reference the cultural and technological achievements of humanity.
",Speculative machines produce existential wonder
Nancy W. Stauffer,13-Jun-18,"Guided by their computer models, Cohn and Bromberg took a series of steps to increase the power and efficiency of that design without sacrificing its emissions benefits.During normal gasoline SI engine operation, the process of translating the combustion of gases into torque (rotational force) at the wheels progresses smoothly — until there’s a need for high-torque operation, for example, to pull a heavy load at high speed or up a hill.The SI engine doesn’t contain all the excess air that’s in a diesel, so the total volume of its cylinders can be smaller.“Because of that difference, you can replace a diesel engine with an SI engine about half as big,” says Bromberg.With that reduction in size comes an increase in fuel efficiency.",Gasoline-alcohol engines for heavy-duty trucks could produce a meaningful improvement in global air quality.,Getting the world off dirty diesels
"David L. Chandler, MIT News Office",4-Oct-13,,"Julie Newman appointed to lead the Institute’s programs in sustainable energy, water and other resources.",New position aims to strengthen MIT’s sustainability
Liz McGrath,28-Aug-14,", the Frederick G. Keyes Professor of Chemistry, has been honored with the , the highest award given by the Swiss Chemical Society.It's awarded biennially to an internationally outstanding scientist for his or her lifetime achievements in chemical research.Schrock's interests include: the inorganic and organometallic chemistry of high-oxidation-state metal complexes (especially those that contain an alkylidene ligand); catalytic reactions involving alkylidene complexes (especially olefin metathesis reactions); the chemistry of high oxidation state dinitrogen and related complexes; and the controlled synthesis of polymers prepared using well-defined organometallic initiators.He is perhaps best known for his discovery of ""high-oxidation-state carbene"" (alkylidene complexes), by alpha hydrogen abstraction in high-oxidation-state metal alkyl complexes, for which he received the Nobel Prize in Chemistry in 2005.",Award given to outstanding scientists for their lifetime achievement in chemical research.,Schrock honored with Paracelsus Prize
David L. Chandler,8-May-14,"MIT has  a major new campuswide initiative to promote transformative, cross-disciplinary research relating to the environment.The initiative will be formally launched in the fall, and its founding director will be Susan Solomon, the Ellen Swallow Richards Professor of Atmospheric Chemistry and Climate Science.This initiative will focus and amplify the aspirations of our community to understand, inform, and seek solutions to pressing problems of the natural world and built environment.”This new initiative, she says, will promote research that engages wide participation by members of the MIT community to address the most significant interdisciplinary problems in our environment, spanning the physical and social sciences; engineering; and urban planning and policy.“The goal of the initiative will be very specific: for faculty members to self-organize into teams of people who are interested in defining genuinely new research directions; to come up with ideas across schools; and to propose research that might not easily be funded by current federal agencies, which tend to be defined by disciplinary areas,” Solomon says.","Multidisciplinary program, to be led by Susan Solomon, will encourage collaborations among researchers in different fields.",MIT announces new initiative on environment
Rob Matheson,27-Sep-19,"“If it’s transforming one chord into a chord with a different harmony, or with more notes, for instance, the notes will split from the first chord and find a position to seamlessly glide to in the other chord.”According to Henderson, this is one of the first techniques to apply optimal transport to transforming audio signals.That’s basically a value that determines where each note will be on the path from its starting pitch in one signal to its ending pitch in the other.","Algorithm enables one audio signal to glide into another, recreating the “portamento” effect of some musical instruments.",Using math to blend musical notes seamlessly
Patricia Sampson,12-Feb-15,,Emeritus professor of electrical engineering and computer science was a former MIT vice president for special labs and first director of MIT's Security Studies Program.,Jack Ruina dies at 91
Connie Blaszczyk,27-Sep-19,"It’s simply “to get the most from the music, in an enthralling way.”  This March brings composer Tod Machover’s ""City Symphonies"" to Boston for the first time.Rich in visuals and sense of place, “” is part of the MIT Symphony Orchestra’s 2019-20 season.",This season of musical performances features a range of Boston premieres and diverse collaborations.,MIT Sounding 2019-20 explores far-reaching musical frontiers
"School of Humanities, Arts, and Social Sciences",7-Nov-19,"“When we explore the overlap of art and anthropology,"" says Riskin, “we find deep and complex connections.”A cross-disciplinary class development grant from MIT’s Center for Art, Science and Technology (CAST) allowed Riskin and Jones to make this timely exploration.The course has challenged my perception of reality because it has shown that we project our past experiences onto ambiguous signals to create a story.”In one studio session focused on abstraction and ambiguity, students are presented with a thin sheet of translucent paper and an array of small lights.","In a new anthropology and studio art course, MIT students investigate the human dimensions of interacting with technologies.",The technology of enchantment
Ken Shulman,19-Jan-17,,Freshman seminar inspires students to see the world with fresh eyes.,"Art, engineering, and architecture"
