author,date,finalSummary,miniSummary,title,topics
Anna Kaley,2019-09-22,"In this research, we are examining how digital workplace tools support or hinder employee productivity, collaboration, communication, and morale.are websites or applications that people use in the workplace, including but not limited to the .The digital workplace tools we’ve studied range in purpose from chat platforms, to collaboration and documentation platforms, to domain-specific work tools, to email, work-tracking, and task-management applications.Watching and interviewing employees interacting with digital tools has revealed that there’s an abundance of tools available today.For example, a new tool may allow employees to perform a certain task one minute faster than what’s possible with existing tools."," With an abundance of digital workplace tools available today, organizations must carefully approach tool curation to preserve employee productivity and their workplace experience.",Tool Abundance in the Digital Workplace: Trendy or Troublesome?,"Intranets, "
Kara Pernice,,, Eyetracking research shows people read Web content in the F-pattern. The results highlight the importance of following guidelines for writing for the Web.,F-Pattern in Reading Digital Content,"Eyetracking, Writing for the Web, Behavior Patterns, Visual Design, "
Kim Salazar,2017-02-26,"I disliked how the information was [presented] only in little blurbs and not in full detail.”This user’s information needs were not met at this point in his journey: he was looking for detailed specs and a comparison of the various models available, but the page only provided general snippets of information.In contrast, Jiffy Lube’s desktop website was nicely optimized for the desktop: it had rich information outlining the array of vehicle services that the company offers, as well as easy access to complex activities such as applying for a credit card, purchasing a gift card, and requesting information about fleet services.Another mobile feature, Your Wallet, was specifically designed for customers who need quick access to important documents and vehicle information.In a world where customers use multiple channels and devices to interact with organizations, understanding each device’s and channel’s role in a customer’s journey can help organizations incorporate helpful and usable context-specific elements necessary to create an exceptional user experience.In order to focus design efforts, teams must understand the common tasks completed by users within each channel.", Design for each channel’s unique strengths and role in the customer journey to create usable context-specific experiences.,Optimizing for Context in the Omnichannel User Experience,"Customer Journeys, Mobile & Tablet, Strategy, Ecommerce, "
Page Laubheimer,,, Data-rich applications often include huge tables in their user interface; here are 3 UX guidelines for improving the usability of big tables.,Designing Tables for Desktop Apps with Lots of Data,"Application Design, "
Kim Salazar,,, Teams must combine perspectives and get buy-in from multiple business units and channel stakeholders in order to plan and execute effective omnichannel experiences. ,Successful Omnichannel Experiences Begin with Cross-Functional Teams ,
Raluca Budiu,,," Form filling and other user input on mobile devices such as smartphones can be awkward and error prone, but by taking advantage of the strengths of the phone, designers can improve the usability of these tasks substantially.",Easier Input on Mobile Devices,"Mobile & Tablet, "
Sarah Gibbons,2016-10-23,"This attitude will make it easier to work though points of tension and will enable you to gain maximum value from the critique.When you’re presenting your work in a design critique, follow these best practices:Design critiques should be a key part of the iterative creative process, but incorporating feedback into your team’s existing process is likely to hit obstacles.Critiquing ongoing design projects affords changes to be made to the design before it is final, without impacting the project cost and timeline, and ultimately insures that the end product meets the original goal.Use the attached critique cheat sheet as a guide for you and your team — either as a reference or to create a baseline understanding of the process amongst your team."," Open feedback is essential for a collaborative UX process. However, sharing unfinished work is naturally uncomfortable and often generates tension. The right facilitation process can foster an efficient, honest feedback loop.
",Design Critiques: Encourage a Positive Culture to Improve Products ,"Design Process, UX Teams, Ideation, "
Amy Schade,2016-10-30,"Users still need to find information, be able to read it, and know what to click and where it leads.How many of these mistakes is your website making?Users should be able to find information before committing to a complex process.Sites that create separate, secondary sites for sections or specific types of content need to be cautious about stranding users on those sites.", A large-scale usability study revealed the most common and damaging web-design mistakes of today. They aren't surprising or new - they're enduring issues that continue to hurt website usability. ,Top 10 Enduring Web-Design Mistakes,"Web Usability, Navigation, Search, Content Strategy, "
Kara Pernice,2015-10-11,"And, I reverted back to a fundamental problem that most people who have an iPhone have probably talked about since its inception: its fragility, and more importantly, the fact that the hardware design of this gorgeous piece of technology is far too delicate for the environment it is used in.It’s doubtful that when it created the first iPhone Apple didn’t know that it was going to need a cover to remain functional."," Whether it’s my iPhone or my grandmother’s couch, having to cover it up indicates a design that breaks the “Form follows function” motto. Design goals and business goals sometimes rightfully win out over perfect function and usability.",Apple Is Making Us All My Grandmother,"Management, "
Jen Cardello,2014-10-19,"Here are just a few examples where the social-proof principle is at work.Social proof is one of the 6 influencing principles detailed in Dr. Robert Cialdini’s book  (first published in 1984).Social proof plays off our insecurities and desire to do the “right thing.”Occasionally, in usability studies, users tell us that they don’t care about user reviews, they don’t trust other people’s opinions, and they make all of their decisions based totally on their own independent perspective."," People are guided by other people’s behavior, so we can represent the actions, beliefs, and advice of the crowd in a design to influence users.",Social Proof in the User Experience,"Persuasive Design, Social Media, "
Kara Pernice,2014-12-14,"People should be able to read an expressive link or button term, determine the strength of the , decide if they want to click the link, click it, wait until the next page loads, scan the page when it does, and immediately confirm that they are in the right place.After clicking the blue  button, a form with several items appears that confirm to the user that she is on the right track, including:Whether it’s a date not kept, a ball never tossed, or a product page not loading when requested on a website, bailing out on your promises is impolite, bad practice and will hurt your organization in the long run."," Any broken promise, large or small, chips away at trust and credibility. The words in a link label make a strong suggestion about the page that is being linked to. The destination page should fulfill what the anchor text promises.",A Link is a Promise,"Navigation, Persuasive Design, Writing for the Web, "
Jakob Nielsen,2018-11-29,"This is reasonable, as the biggest , when newly minted user experience specialists are disabused of bad habits from university and learn how to actually do the job in industry.Somebody with 15 years' experience may be slightly better than somebody with 10 years' experience, but not by much.Still, the fact that many UX professionals continue to experience some small salary growth in the later stages of their careers would indicate that they belong to the top 2% of the population in the United States in terms of income growth potential.Seen over the 20-year period from 1998 to 2018, UX salaries have been remarkably ."," Over the last several years, entry-level UX salaries have dropped, while pay for experienced user experience staff has been more stable. (Updated to 2019.)",Salary Trends for UX Professionals,"Management, "
Aurora Harley,2014-11-30,"In this instance, the persona’s gender likely does not make a difference (but it would for an e-commerce clothing site, for example), so it should not be included when creating the representative segment.To be meaningful and worth a separate analysis, the segment derived from a persona, once created, should display user behavior that is clearly different than the rest of the site visitors and should represent a sizeable chunk of your user population.If the latter, it would be more useful to analyze mobile usage using that group’s overall segment rather than creating a separate mobile segment for each.Examples of ways to segment users that may be derived from a persona include:This list is by no means exhaustive, and the set of characteristics included in a segment will vary depending on the site, its audience, as well as what is technically feasible to define in the chosen analytics tool.Interpreting analytics data to answer specific questions becomes much easier when you  available and hone in on the relevant statistics.", Persona-inspired segments can be used in website analytics to uncover trends in data and derive UX insights. Better than (a) lumping everybody together or (b) segmenting on demographics that don't relate to user behavior.,Segment Analytics Data Using Personas,"Analytics & Metrics, Personas, Research Methods, Strategy, "
,,, 8 UX professionals tell us what they have done to become better at this challenging profession. (Filmed at the UX Conference in San Francisco.),What Has Made You a Better UX Professional?,
Marieke McCloskey,2014-03-09,"The links made it easy for the user to navigate to additional information about a topic, but also acted as headings for each paragraph, informing the user what each section is about.Even when the links visually stand out, they need to be meaningful to be helpful.This is why you don’t need to search for “Usability 101” to find this article.First, the most helpful link text describes the page that’s being linked to."," To help users quickly find what they need, anchor text should stand out from the body content and accurately describe the page that it refers to.","Writing Hyperlinks: Salient, Descriptive, Start with Keyword","Navigation, Writing for the Web, "
Jakob Nielsen,2013-09-28,"She did find it easily when we asked; in real life, however, the feature might as well not have existed because the user wasn't looking for it.Yours is unlikely to be the first user interface for which all users become sophisticated experts and learn all the features.Although you can  of stagnating user expertise, there are some  it:Follow these guidelines, and users will eventually know and use more of your features."," Learning is hard work, and users don't want to do it; they don't explore the user interface and don't know about most features.",User Expertise Stagnates at Low Levels,"Psychology and UX, Behavior Patterns, "
Hoa Loranger,2013-10-12,"It’s fine to feature ads on your site.However, whenever possible, group external and internal promotions separately, and make them look distinct to avoid any confusion.If you want people to notice your content, keep it within their line of sight and avoid wedging it between ad-like elements where it could be associated with advertising erroneously."," As an adaptation to information overload, web users have trained themselves to divert their attention away from areas that seem unimportant or look like advertising. When designed well, sidebars can effectively increase content discoverability and usability.",Fight Against “Right-Rail Blindness”,"Design Patterns, Visual Design, Web Usability, "
Raluca Budiu,2013-10-12,"So far it looks like some apps (for instance, ) are proceeding cautiously, choosing to use borders and other cues to make sure that users know where to tap.Others, such as (an app for used-car dealers) fully embrace the lack of buttons and generate harder-to-use designs:In ’s design, it’s hard to say what the call to action is and what the user is supposed to do on the page.What’s surprising is that we don’t learn from someone else’s mistakes: Apple ignored some of the hurdles that Microsoft experienced with flat design and swipe ambiguity in Windows 8."," Flat design hides calls to action, and swiping around the edges can interfere with carousels and scrolling.",iOS 7 User-Experience Appraisal,"Mobile & Tablet, "
Jakob Nielsen,2012-09-09,"We really don't want the hotel staff to interrupt the study; nor do we want people wandering the hallways looking for other meetings to poke their heads into our room.If you conduct user testing at your company, it might be nice to have the sign say something like, ""Usability Study in Progress.""Still, it's sometimes nice to be able to accommodate multiple observers, who can't all squeeze in behind the user's chair.In such cases, one option is to hook up a , as shown in this photo from a study we ran in Hong Kong:Here, we simply used a mid-sized HD TV, which is available at most hotels (and thus you don't have to ship it around)."," User testing can be done anywhere; witness our international studies, carried out with equipment that fit in a carry-on bag.",Traveling Usability Lab,"User Testing, Research Methods, "
Jakob Nielsen,2012-11-19,"""Windows""  on the screen.I switched from Macintosh to Windows many years ago and have been very pleased with Windows 7.I am a great  (we later gave several  that adapted this UI innovation), and I proclaimed the  I have many friends who work at Microsoft and know that it has many very talented usability researchers and UI designers on staff.I have nothing against Microsoft."," Hidden features, reduced discoverability, cognitive overhead from dual environments, and reduced power from a single-window UI and low information density. Too bad.",Windows 8 — Disappointing Usability for Both Novice and Power Users,"Mobile & Tablet, "
Jakob Nielsen,2011-05-22,"During our new testing earlier this month, several users had the same problems as last year's test participants, even though we recruited people with more iPad experience.Happily, a few days after our test sessions,  released a new version of their app, with somewhat improved navigation: Sections One of our test users was a regular user of this app.In our first report, many of the bad designs we documented were due not to bad designers, but rather to the inevitable outcome of non-user-centered design projects.In contrast, the apps and sites tested in the new study were designed by teams that benefited both from our original usability report and from whatever user feedback they'd collected on their own during the past year.In the new study, we systematically ."," iPad apps are much improved, but new usability problems have emerged, such as swipe ambiguity and navigation overload.",iPad Usability: Year One,"Mobile & Tablet, "
Jakob Nielsen,2012-01-29,"Whenever someone asks us a basic question, I assume that many more people want the answer as well — and thus, this article on chrome.I don't know who came up with the term ""chrome,"" but it was likely a visual analogy with the use of metal chrome on big American cars during the 1950s: the car body (where you sit) was surrounded by shiny chrome on the bumpers, tail fins, and the like.Similarly, in most modern GUIs, the chrome lives around the edges of the screen, surrounding the middle area, which is dedicated to the user's data.Following are some examples of chrome, which vary depending on the ""underlying system"":The penalty of chrome is clear: , leaving less for the target content or data.Within a typical desktop browser window, the user's Facebook news feed accounts for only about 48% of the web page; Facebook's chrome and wasted screen space eat up the remaining 52%."," 'Chrome' is the user interface overhead that surrounds user data and web page content. Although chrome obesity can eat half of the available pixels, a reasonable amount enhances usability.",Browser and GUI Chrome,"Application Design, Web Usability, Branding, "
Maria Rosala,,," App permission requests are an important part of the overall user experience, yet they are often neglected by app designers. Here are 3 tips for designing them well: get content, timing, and decision reversal right, or users will just say NO.",Designing Effective App Permission Requests,"Mobile & Tablet, "
Page Laubheimer,,, Data-rich applications often include huge tables in their user interface; here are 3 UX guidelines for improving the usability of big tables.,Designing Tables for Desktop Apps with Lots of Data,"Application Design, "
Jakob Nielsen,2010-07-01,"But are tablets as good as printed books?To find out, we conducted a readability study of people reading fiction on the two highest-profile tablets: Apple's  (first-generation) and Amazon's .In contrast to our previous study of , we didn't study a range of user interfaces.But in this reading study, we didn't test learnability to begin with, and users definitely had substantial previous experience with the main skill we tested: that of reading."," A study of people reading long-form text on tablets finds higher reading speeds than in the past, but they're still slower than reading print.",iPad and Kindle Reading Speeds,"Mobile & Tablet, Writing for the Web, "
Jakob Nielsen,2011-03-13,"In a test we did in Australia last week, a lightbox helped a user looking for flights on the Webjet site:Note the design's usability features:In last week's study, this design worked well, just as many other lightbox designs have performed swimmingly in our previous usability studies.Sadly, later in the week, we came across this repugnant perversion of an overlay dialog box on another Australian site:Although implemented differently, this is , which is the .One of the lessons of these two weeks of testing is that people are the same all around the world: when they despise a Web design they immediately get rid of it.", Once users reject a design technique due to repeated bad experiences it's almost impossible to use it for good because people will avoid it every time.,Can Hated Design Elements Be Made to Work?,"Web Usability, "
Jakob Nielsen,2008-11-30,"If the primary target is American and Asian students, the site should be written in American English.Similarly, if the main competition is American universities, the Scandinavian site should use American English."," Users pay attention to details in a site's writing style, and they'll notice if you use the wrong variant of the English language.",American English vs. British English for Web Content,"International Users, Writing for the Web, "
Jakob Nielsen,2009-01-04,"In earlier years, we've honored winners with 1- or 2-person teams.Even this year's average team size of 14 is fairly small when it comes to providing a key work tool for organizations with 37,500 employees on average.This is about the same as we've seen in previous years: The average usage increase in the 2005–2008 winners was 110%."," Intranets are getting more strategic, with increased collaboration support. Team size is growing by 12% per year, and platforms are becoming integrated, with a strong showing for SharePoint.",10 Best Intranets of 2009,"Intranets, "
Aurora Harley,2020-07-12,"Designs that have distinct, organized sections make it easy to recognize the basic structure of the interface and to determine what areas of the UI to interact with.Designating the header, footer, left navigation panel, or other areas of a UI using a background color is often used to create common regions that visually separate  from content.Borders are often added in an abundance of caution, to ensure that groupings are clear; however, this approach can result in busy, cluttered designs and in many situations it’s enough to rely on proximity for grouping.For instance, in the mobile version of Backcountry.com, each filter set in the filter menu is enclosed in a box."," In visual design, elements within the same boundary are perceived as related.",The Principle of Common Region: Containers Create Groupings,"Visual Design, Psychology and UX, "
Kelley Gordon,,," When visual design elements appear clearly different (for example, have contrasting colors) users easily deduce that the contrasting item is different or special in some way. So if it actually is different, this enhances usability.",The Visual Principle of Contrast in UI Design,"Visual Design, "
Jakob Nielsen,2006-03-19,"But you never see an article about how to write better headlines or take a clearer product photo.I have my theory for why the discussion is biased in favor of the things that do the least good: it's exactly  Two reasons:This is not to say that there's no role for new technology.But that's an application, and a big one to boot."," Clear content, simple navigation, and answers to customer questions have the biggest impact on business value. Advanced technology matters much less.",Growing a Business Website: Fix the Basics First,"Strategy, Web Usability, "
Jakob Nielsen,2005-10-23,"This is a good time to take a fresh look at portal design, since  .To find out what's working now, we analyzed a new series of portal projects and compared them with the conclusions from the previous round.In the larger scheme of things, three years is not much time, so it's not surprising that all of the findings from our initial portal project still hold.This also helps with user acceptance, because a tools-oriented approach to the portal makes it more obviously useful.All in all, intranet portals are definitely maturing."," An analysis of intranet portals found slimmer information architectures and a renewed emphasis on fresh content and useful applications. Past findings, including those on role-based personalization, were confirmed.",Intranet Portals Get Streamlined,"Intranets, "
Anna Kaley,,," An effective UX roadmap can help teams maintain strategic direction, align with stakeholders, and prioritize ideas to respond to requests.",Creating a UX Roadmap,"Strategy, UX Teams, "
Jakob Nielsen,,," Any time you release a new user interface design, you'll get complaints. This doesn't mean that the new design is worse than the old design; it simply means that it's new, and users don't like to learn different ways of doing things. Tips for reducing change aversion (you can't avoid it completely).",Users Hate Change,"Strategy, "
Jakob Nielsen,2005-04-10,"What's less known is that usability problems in the medical sector's good old-fashioned office automation systems can harm patients just as seriously as machines used for treatment.In a recent , Ross Koppel and colleagues reported on a field study of a , which physicians use to specify patient medications.With medication errors in particular, it's also quite possible that hospital staff might tend to minimize the extent to which patients get the wrong medication — even when a survey guarantees anonymity.I would have much preferred error-frequency estimates based on actual observations, rather than fallible human memory and possibly biased survey answers.", A field study identified 22 ways that automated hospital systems can result in the wrong medication being dispensed to patients. Most of these flaws are classic usability problems that have been understood for decades.,Medical Usability: How to Kill Patients Through Bad Design,"Application Design, "
